Procesado,Método,URI,Banderas
true,GET,https://nuevaeps.com.co/core/modules/system/css/components/system-status-counter.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/modules/system/css/components/system-status-report-counters.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/modules/system/css/components/system-status-report-general-info.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/modules/system/css/components/tablesort.module.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/modules/system/css/components/tree-child.module.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/modules/views/css/views.module.css?qy1v77,
true,GET,https://nuevaeps.com.co/modules/contrib/eu_cookie_compliance/css/eu_cookie_compliance.css?qy1v77,
true,GET,https://nuevaeps.com.co/modules/contrib/webform/modules/webform_bootstrap/css/webform_bootstrap.css?qy1v77,
false,GET,https://cdn.jsdelivr.net/npm/bootstrap@3.4.0/dist/css/bootstrap.css,Fuera de alcance
true,GET,https://nuevaeps.com.co/sites/all/themes/bootstrap/css/3.4.0/overrides.min.css?qy1v77,
true,GET,https://nuevaeps.com.co/sites/all/themes/nueva_eps/css/slick.css?qy1v77,
true,GET,https://nuevaeps.com.co/sites/all/themes/nueva_eps/css/slick-theme.css?qy1v77,
true,GET,https://nuevaeps.com.co/sites/all/themes/nueva_eps/css/style.css?qy1v77,
true,GET,https://nuevaeps.com.co/core/assets/vendor/html5shiv/html5shiv.min.js?v=3.7.3,
false,GET,https://cariai.com/r/cc?buttonId=btnShowHide&key=cVhlaTdqekZaZkkyL1VNRDZOVjFiUWRwb2tWbjdsQi9LWC9za2oyQllVLzNPWmRN,Fuera de alcance
false,GET,https://unpkg.com/packery@2/dist/packery.pkgd.min.js,Fuera de alcance
true,GET,https://nuevaeps.com.co/core/assets/vendor/jquery/jquery.min.js?v=3.5.1,
true,GET,https://nuevaeps.com.co/core/assets/vendor/underscore/underscore-min.js?v=1.9.1,
true,GET,https://nuevaeps.com.co/core/misc/polyfills/object.assign.js?v=8.9.6,
true,GET,https://nuevaeps.com.co/core/assets/vendor/jquery-once/jquery.once.min.js?v=2.2.3,
true,GET,https://nuevaeps.com.co/core/misc/drupalSettingsLoader.js?v=8.9.6,
true,GET,https://nuevaeps.com.co/sites/default/files/languages/es_EDy-ZYhYCABj3Ito9SqCsCReeZBiBtfmUF2wSJ1wxDU.js?qy1v77,
true,GET,https://nuevaeps.com.co/core/misc/drupal.js?v=8.9.6,
true,GET,https://nuevaeps.com.co/core/misc/drupal.init.js?v=8.9.6,
